Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR9722160_1	SRR9722160_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53314.0	13.3 Mbp	0.0	40-251	52.0	5.4563529279363765	250.88777806955022	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722160_2	SRR9722160_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53314.0	13.3 Mbp	0.0	40-251	50.0	7.041302472146153	250.8573357842218	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722161_1	SRR9722161_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96665.0	24.2 Mbp	0.0	38-251	52.0	4.585941136916154	250.91666063207987	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722161_2	SRR9722161_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96665.0	24.2 Mbp	0.0	39-251	50.0	6.470801220710702	250.87301505198366	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722162_1	SRR9722162_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89508.0	22.4 Mbp	0.0	41-251	52.0	3.784019305536935	250.94836215757252	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722162_2	SRR9722162_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89508.0	22.4 Mbp	0.0	41-251	50.0	7.2406935692898955	250.87942977164053	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722163_1	SRR9722163_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83171.0	20.8 Mbp	0.0	38-251	52.0	4.25989828185305	250.94183068617667	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722163_2	SRR9722163_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83171.0	20.8 Mbp	0.0	38-251	50.0	6.216108980293612	250.8966586911303	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722164_1	SRR9722164_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102793.0	25.7 Mbp	0.0	60-251	52.0	3.7132878697965817	250.9534501376553	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722164_2	SRR9722164_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102793.0	25.7 Mbp	0.0	42-251	50.0	6.076289241485315	250.91448834064576	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722165_1	SRR9722165_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94822.0	23.7 Mbp	0.0	49-251	52.0	4.147771614182362	250.9406572314442	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722165_2	SRR9722165_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94822.0	23.7 Mbp	0.0	49-251	50.0	5.853072071882052	250.90222733121007	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722166_1	SRR9722166_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83693.0	21 Mbp	0.0	35-251	52.0	4.131767292366148	250.92523866990072	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
