Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR9722160_1	94.54364707206362	52.0	250.88777806955022	251	50.0	53314.0
SRR9722160_2	92.95869752785384	50.0	250.8573357842218	251	50.0	53314.0
SRR9722161_1	95.41405886308385	52.0	250.91666063207987	251	50.0	96665.0
SRR9722161_2	93.5291987792893	50.0	250.87301505198366	251	50.0	96665.0
SRR9722162_1	96.21598069446307	52.0	250.94836215757252	251	50.0	89508.0
SRR9722162_2	92.7593064307101	50.0	250.87942977164053	251	50.0	89508.0
SRR9722163_1	95.74010171814695	52.0	250.94183068617667	251	50.0	83171.0
SRR9722163_2	93.78389101970639	50.0	250.8966586911303	251	50.0	83171.0
SRR9722164_1	96.28671213020341	52.0	250.9534501376553	251	50.0	102793.0
SRR9722164_2	93.92371075851469	50.0	250.91448834064576	251	50.0	102793.0
SRR9722165_1	95.85222838581764	52.0	250.9406572314442	251	50.0	94822.0
SRR9722165_2	94.14692792811795	50.0	250.90222733121007	251	50.0	94822.0
SRR9722166_1	95.86823270763385	52.0	250.92523866990072	251	50.0	83693.0
SRR9722166_2	93.30648919264455	50.0	250.86995328163647	251	50.0	83693.0
SRR9722167_1	95.91596208045094	52.0	250.96734563156545	251	50.0	78060.0
SRR9722167_2	93.95336920317705	50.0	250.9375736612862	251	50.0	78060.0
SRR9722168_1	96.21486902872246	52.0	250.96956093917217	251	50.0	139229.0
SRR9722168_2	94.192301891129	50.0	250.93886331152274	251	50.0	139229.0
SRR9722169_1	95.70404573970434	52.0	250.95575916546798	251	50.0	82729.0
SRR9722169_2	93.06530962540343	50.0	250.91076889603403	251	50.0	82729.0
SRR9722170_1	96.60362380252529	54.0	250.89508351480953	251	50.0	93217.0
SRR9722170_2	94.37763498074385	51.0	250.71246661016767	251	50.0	93217.0
SRR9722171_1	95.62130177514793	53.0	250.94649360564992	251	50.0	130975.0
SRR9722171_2	92.47642679900744	51.0	250.8300286314182	251	50.0	130975.0
SRR9722172_1	95.13857508660944	52.0	250.96005610784758	251	50.0	106224.0
SRR9722172_2	92.66832354270221	50.0	250.89036375960234	251	50.0	106224.0
SRR9722173_1	96.35149722144484	52.0	250.95801383280693	251	50.0	125065.0
SRR9722173_2	93.82401151401271	50.0	250.92090512933274	251	50.0	125065.0
SRR9722174_1	96.06035602848986	53.0	250.94215722536774	251	40.0	105441.0
SRR9722174_2	92.50481311823674	50.0	250.7877296307888	251	50.0	105441.0
SRR9722175_1	96.32377103049421	52.0	250.94500032860148	251	50.0	121728.0
SRR9722175_2	94.65447555205047	50.0	250.89857715562565	251	50.0	121728.0
SRR9722176_1	96.05580402333757	52.0	250.9555150645096	251	50.0	108666.0
SRR9722176_2	93.73309038705759	50.0	250.88093791986455	251	50.0	108666.0
SRR9722177_1	95.68675633729953	52.0	250.9438049663735	251	50.0	77320.0
SRR9722177_2	93.85928608380755	50.0	250.9063631660631	251	50.0	77320.0
SRR9722178_1	95.93511936462362	52.0	250.9532266654317	251	50.0	86374.0
SRR9722178_2	94.1637529812212	50.0	250.90790052562113	251	50.0	86374.0
SRR9722179_1	96.35550086693887	53.0	250.95656356619497	251	40.0	89395.0
SRR9722179_2	92.79489904357067	50.0	250.8288271156105	251	50.0	89395.0
