	SRR9722160	SRR9722161	SRR9722162	SRR9722163	SRR9722164	SRR9722165	SRR9722166	SRR9722167	SRR9722168	SRR9722169	SRR9722170	SRR9722171	SRR9722172	SRR9722173	SRR9722174	SRR9722175	SRR9722176	SRR9722177	SRR9722178	SRR9722179
ASV_0001	29902	50514	51179	45084	62329	57005	42225	51966	79654	47515	2568	41373	12433	65454	18237	75748	45492	48940	51931	19143
ASV_0002	1149	6390	3598	6782	376	396	228	102	366	130	61490	605	537	663	45407	2798	12800	75	3597	33396
ASV_0003	16	45	43	22	568	66	0	0	1635	546	0	3849	38469	0	0	0	0	0	45	0
ASV_0004	0	0	0	0	0	0	0	0	0	0	0	26794	0	0	0	0	0	0	0	0
ASV_0005	0	18	0	15	281	1059	63	0	655	504	11	3629	99	10814	0	0	0	19	0	0
ASV_0006	794	901	1031	1261	492	393	1544	320	678	500	594	196	75	279	1763	475	2458	518	932	1721
ASV_0007	0	0	0	0	223	97	8717	400	3559	1271	0	745	406	35	0	0	0	993	0	0
ASV_0008	79	623	371	301	0	0	312	78	483	105	25	2226	1042	8	23	15	23	72	103	0
ASV_0009	0	0	0	0	0	0	0	0	0	0	0	50	5617	0	0	0	0	0	0	0
ASV_0010	0	30	0	13	406	50	0	0	768	356	4	800	2833	0	0	0	0	0	0	0
ASV_0011	0	32	0	0	503	59	0	0	745	377	0	711	2436	0	0	0	0	0	0	0
ASV_0012	0	0	0	0	736	490	0	0	951	571	0	1232	754	0	0	0	0	0	0	0
ASV_0013	0	0	0	0	0	0	0	0	32	8	0	0	2822	0	0	0	0	0	0	0
ASV_0014	0	0	0	0	55	0	0	84	800	445	0	0	0	0	59	871	0	171	0	73
ASV_0015	0	16	0	0	0	4	0	0	0	0	0	0	1428	0	0	0	0	0	0	0
ASV_0016	0	0	0	0	145	149	72	0	150	39	0	252	185	195	0	0	0	31	0	0
ASV_0017	0	0	0	0	53	0	0	45	266	291	0	0	0	0	0	288	0	147	0	0
ASV_0018	0	0	0	0	0	0	0	0	0	0	0	1005	0	0	0	0	0	0	0	0
ASV_0019	0	0	0	0	0	10	6	0	20	0	0	367	430	0	0	0	0	0	0	0
ASV_0020	0	0	0	0	0	42	0	0	152	20	0	309	70	239	0	0	0	0	0	0
ASV_0021	0	0	0	0	0	238	0	0	0	0	0	104	468	7	0	0	0	0	0	0
ASV_0022	0	0	0	68	0	0	0	0	0	0	0	0	247	30	65	75	11	0	0	29
ASV_0023	0	0	0	0	0	0	0	0	0	0	0	460	41	0	0	0	0	0	0	0
ASV_0024	0	29	0	7	169	0	0	0	0	0	0	0	0	0	0	243	0	13	21	0
ASV_0025	0	0	0	0	0	14	0	0	0	0	0	27	299	0	0	0	0	0	0	0
ASV_0026	0	0	0	0	0	0	0	0	0	0	0	190	113	0	0	0	0	0	0	0
ASV_0027	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0
ASV_0028	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
ASV_0029	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0
ASV_0030	0	44	14	0	0	0	7	4	15	9	2	37	22	0	0	2	0	0	15	0
ASV_0031	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0032	0	0	0	0	0	0	3	0	14	122	0	3	0	0	0	0	0	0	0	0
ASV_0033	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0
ASV_0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0
ASV_0035	0	0	0	0	0	0	0	0	0	20	0	101	0	0	0	0	0	0	0	0
ASV_0036	23	0	0	0	0	0	0	0	0	0	0	0	78	0	18	0	0	0	0	0
ASV_0037	0	0	0	0	0	44	0	0	0	0	0	0	62	11	0	0	0	0	0	0
